period,quarter,source,target,value,signed,neg
2008-07-27,FY2009 Q2,Revenue,Gross Profit,149917000,149917000,False
2008-07-27,FY2009 Q2,Revenue,Cost of Revenue,742759000,742759000,False
2008-07-27,FY2009 Q2,Gross Profit,Operating Income,155392000,-155392000,True
2008-07-27,FY2009 Q2,Gross Profit,Operating Expenses,305309000,305309000,False
2008-07-27,FY2009 Q2,Operating Income,Net Income,120929000,-120929000,True
2008-07-27,FY2009 Q2,Operating Income,Tax & Other,34463000,-34463000,True
2008-10-26,FY2009 Q3,Revenue,Gross Profit,367843000,367843000,False
2008-10-26,FY2009 Q3,Revenue,Cost of Revenue,529812000,529812000,False
2008-10-26,FY2009 Q3,Gross Profit,Operating Income,56796000,56796000,False
2008-10-26,FY2009 Q3,Gross Profit,Operating Expenses,311047000,311047000,False
2008-10-26,FY2009 Q3,Operating Income,Net Income,61748000,61748000,False
2008-10-26,FY2009 Q3,Operating Income,Tax & Other,4952000,-4952000,True
2009-01-25,FY2009 Q4,Revenue,Gross Profit,141666000,141666000,False
2009-01-25,FY2009 Q4,Revenue,Cost of Revenue,339474000,339474000,False
2009-01-25,FY2009 Q4,Gross Profit,Operating Income,175083000,-175083000,True
2009-01-25,FY2009 Q4,Gross Profit,Operating Expenses,316749000,316749000,False
2009-01-25,FY2009 Q4,Operating Income,Net Income,147665000,-147665000,True
2009-01-25,FY2009 Q4,Operating Income,Tax & Other,27418000,-27418000,True
2009-04-26,FY2010 Q1,Revenue,Gross Profit,189696000,189696000,False
2009-04-26,FY2010 Q1,Revenue,Cost of Revenue,474535000,474535000,False
2009-04-26,FY2010 Q1,Gross Profit,Operating Income,230965000,-230965000,True
2009-04-26,FY2010 Q1,Gross Profit,Operating Expenses,420661000,420661000,False
2009-04-26,FY2010 Q1,Operating Income,Net Income,201338000,-201338000,True
2009-04-26,FY2010 Q1,Operating Income,Tax & Other,29627000,-29627000,True
2009-07-26,FY2010 Q2,Revenue,Gross Profit,156723000,156723000,False
2009-07-26,FY2010 Q2,Revenue,Cost of Revenue,619797000,619797000,False
2009-07-26,FY2010 Q2,Gross Profit,Operating Income,110107000,-110107000,True
2009-07-26,FY2010 Q2,Gross Profit,Operating Expenses,266830000,266830000,False
2009-07-26,FY2010 Q2,Operating Income,Net Income,105302000,-105302000,True
2009-07-26,FY2010 Q2,Operating Income,Tax & Other,4805000,-4805000,True
