period,quarter,revenue,gross_profit,op_income,net_income,cogs,opex,tax_other
2008-07-27,FY2009 Q2 (Jul 2008),892676000,149917000,-155392000,-120929000,742759000,305309000,-34463000
2008-10-26,FY2009 Q3 (Oct 2008),897655000,367843000,56796000,61748000,529812000,311047000,-4952000
2009-01-25,FY2009 Q4 (Jan 2009),481140000,141666000,-175083000,-147665000,339474000,316749000,-27418000
2009-04-26,FY2010 Q1 (Apr 2009),664231000,189696000,-230965000,-201338000,474535000,420661000,-29627000
2009-07-26,FY2010 Q2 (Jul 2009),776520000,156723000,-110107000,-105302000,619797000,266830000,-4805000
2009-10-25,FY2010 Q3 (Oct 2009),903206000,391783000,107845000,107577000,511423000,283938000,268000
2010-01-31,FY2010 Q4 (Jan 2010),982488000,438721000,134282000,131076000,543767000,304439000,3206000
2010-05-02,FY2011 Q1 (May 2010),1001813000,456377000,147393000,137594000,545436000,308984000,9799000
2010-08-01,FY2011 Q2 (Aug 2010),811208000,134292000,-175207000,-140961000,676916000,309499000,-34246000
2010-10-31,FY2011 Q3 (Oct 2010),843912000,392062000,103783000,84862000,451850000,288279000,18921000
2011-01-30,FY2011 Q4 (Jan 2011),886376000,426359000,179778000,171651000,460017000,246581000,8127000
2011-05-01,FY2012 Q1 (May 2011),962039000,484503000,154862000,135219000,477536000,329641000,19643000
2011-07-31,FY2012 Q2 (Jul 2011),1016517000,525284000,174030000,151573000,491233000,351254000,22457000
2011-10-30,FY2012 Q3 (Oct 2011),1066180000,556717000,197090000,178273000,509463000,359627000,18817000
2012-01-29,FY2012 Q4 (Jan 2012),953194000,490013000,122317000,116025000,463181000,367696000,6292000
2012-04-29,FY2013 Q1 (Apr 2012),924877000,463364000,72826000,60437000,461513000,390538000,12389000
2012-07-29,FY2013 Q2 (Jul 2012),1044270000,540719000,139623000,119046000,503551000,401096000,20577000
2012-10-28,FY2013 Q3 (Oct 2012),1204110000,636658000,252217000,209080000,567452000,384441000,43137000
2013-01-27,FY2013 Q4 (Jan 2013),1106902000,585602000,183573000,173973000,521300000,402029000,9600000
2013-04-28,FY2014 Q1 (Apr 2013),954739000,518568000,82781000,77891000,436171000,435787000,4890000
2013-07-28,FY2014 Q2 (Jul 2013),977238000,545538000,105534000,96448000,431700000,440004000,9086000
2013-10-27,FY2014 Q3 (Oct 2013),1053967000,584415000,140988000,118734000,469552000,443427000,22254000
2014-01-26,FY2014 Q4 (Jan 2014),1144218000,619242000,166697000,146917000,524976000,452545000,19780000
2014-04-27,FY2015 Q1 (Apr 2014),1103000000,604000000,151000000,137000000,499000000,453000000,14000000
2014-07-27,FY2015 Q2 (Jul 2014),1103000000,619000000,163000000,128000000,484000000,456000000,35000000
2014-10-26,FY2015 Q3 (Oct 2014),1225000000,677000000,213000000,173000000,548000000,464000000,40000000
2015-01-25,FY2015 Q4 (Jan 2015),1251000000,699000000,231000000,193000000,552000000,468000000,38000000
2015-04-26,FY2016 Q1 (Apr 2015),1151000000,653000000,176000000,134000000,498000000,477000000,42000000
2015-07-26,FY2016 Q2 (Jul 2015),1153000000,634000000,76000000,26000000,519000000,558000000,50000000
2015-10-25,FY2016 Q3 (Oct 2015),1305000000,733000000,245000000,247000000,572000000,488000000,-2000000
2016-01-31,FY2016 Q4 (Jan 2016),1401000000,791000000,252000000,207000000,610000000,539000000,45000000
2016-05-01,FY2017 Q1 (May 2016),1305000000,751000000,245000000,208000000,554000000,506000000,37000000
2016-07-31,FY2017 Q2 (Jul 2016),1428000000,826000000,317000000,261000000,602000000,509000000,56000000
2016-10-30,FY2017 Q3 (Oct 2016),2004000000,1183000000,639000000,542000000,821000000,544000000,97000000
2017-01-29,FY2017 Q4 (Jan 2017),2173000000,1303000000,733000000,655000000,870000000,570000000,78000000
2017-04-30,FY2018 Q1 (Apr 2017),1937000000,1150000000,554000000,507000000,787000000,596000000,47000000
2017-07-30,FY2018 Q2 (Jul 2017),2230000000,1302000000,688000000,583000000,928000000,614000000,105000000
2017-10-29,FY2018 Q3 (Oct 2017),2636000000,1569000000,895000000,838000000,1067000000,674000000,57000000
2018-01-28,FY2018 Q4 (Jan 2018),2911000000,1801000000,1073000000,1118000000,1110000000,728000000,-45000000
2018-04-29,FY2019 Q1 (Apr 2018),3207000000,2068000000,1295000000,1244000000,1139000000,773000000,51000000
2018-07-29,FY2019 Q2 (Jul 2018),3123000000,1975000000,1157000000,1101000000,1148000000,818000000,56000000
2018-10-28,FY2019 Q3 (Oct 2018),3181000000,1921000000,1058000000,1230000000,1260000000,863000000,-172000000
2019-01-27,FY2019 Q4 (Jan 2019),2205000000,1207000000,294000000,567000000,998000000,913000000,-273000000
2019-04-28,FY2020 Q1 (Apr 2019),2220000000,1296000000,358000000,394000000,924000000,938000000,-36000000
2019-07-28,FY2020 Q2 (Jul 2019),2579000000,1541000000,571000000,552000000,1038000000,970000000,19000000
2019-10-27,FY2020 Q3 (Oct 2019),3014000000,1916000000,927000000,899000000,1098000000,989000000,28000000
2020-01-26,FY2020 Q4 (Jan 2020),3105000000,2015000000,990000000,950000000,1090000000,1025000000,40000000
2020-04-26,FY2021 Q1 (Apr 2020),3080000000,2004000000,976000000,917000000,1076000000,1028000000,59000000
2020-07-26,FY2021 Q2 (Jul 2020),3866000000,2275000000,651000000,622000000,1591000000,1624000000,29000000
2020-10-25,FY2021 Q3 (Oct 2020),4726000000,2960000000,1398000000,1336000000,1766000000,1562000000,62000000
2021-01-31,FY2021 Q4 (Jan 2021),5003000000,3156000000,1507000000,1457000000,1847000000,1649000000,50000000
2021-05-02,FY2022 Q1 (May 2021),5661000000,3629000000,1956000000,1912000000,2032000000,1673000000,44000000
2021-08-01,FY2022 Q2 (Aug 2021),6507000000,4215000000,2444000000,2374000000,2292000000,1771000000,70000000
2021-10-31,FY2022 Q3 (Oct 2021),7103000000,4631000000,2671000000,2464000000,2472000000,1960000000,207000000
2022-01-30,FY2022 Q4 (Jan 2022),7643000000,4999000000,2970000000,3003000000,2644000000,2029000000,-33000000
2022-05-01,FY2023 Q1 (May 2022),8288000000,5431000000,1868000000,1618000000,2857000000,3563000000,250000000
2022-07-31,FY2023 Q2 (Jul 2022),6704000000,2915000000,499000000,656000000,3789000000,2416000000,-157000000
2022-10-30,FY2023 Q3 (Oct 2022),5931000000,3177000000,601000000,680000000,2754000000,2576000000,-79000000
2023-01-29,FY2023 Q4 (Jan 2023),6051000000,3833000000,1256000000,1414000000,2218000000,2577000000,-158000000
